Trachypithecus geei	8356
Trachypithecus germaini	NA
Trachypithecus hatinhensis	NA
Trachypithecus johnii	10595.08
Trachypithecus laotum	NA
Trachypithecus obscurus	7247.88
Trachypithecus phayrei	7681.72
Trachypithecus pileatus	11219.93
Trachypithecus poliocephalus	NA
Trachypithecus shortridgei	NA
Trachypithecus vetulus	7205.08
Varecia rubra	3872.6
Varecia variegata	3849.99
